strategy,market,params,train_cagr,train_dd,test_cagr,test_dd,test_sharpe,test_trades,win_rate,score
crash,3033.HK,"lb2,drop0.07,ma100,h1,sl0.03,tp0.1",-0.27768300506867294,-0.6888665459354459,-0.12036924524752268,-0.242998892838731,-0.9299969590451406,2,0.0,-inf
crash,3033.HK,"lb2,drop0.07,ma100,h1,sl0.05,tp0.06",-0.295942914397911,-0.7137386502567046,-0.12877168767900493,-0.25860716308947895,-0.9154424533263607,2,0.0,-inf
crash,3033.HK,"lb2,drop0.07,ma100,h1,sl0.05,tp0.1",-0.27801525604291244,-0.6893319962230872,-0.12877168767900493,-0.25860716308947895,-0.9154424533263607,2,0.0,-inf
crash,3033.HK,"lb2,drop0.07,ma100,h2,sl0.03,tp0.06",-0.3014964219932176,-0.721020981623578,-0.12036924524752268,-0.242998892838731,-0.9299969590451406,2,0.0,-inf
crash,3033.HK,"lb2,drop0.07,ma100,h2,sl0.03,tp0.1",-0.2837101745960472,-0.6972352194511527,-0.12036924524752268,-0.242998892838731,-0.9299969590451406,2,0.0,-inf
crash,3033.HK,"lb2,drop0.07,ma100,h2,sl0.05,tp0.06",-0.29220813062180784,-0.7265678693095897,-0.12877168767900493,-0.25860716308947895,-0.9154424533263607,2,0.0,-inf
crash,3033.HK,"lb2,drop0.07,ma100,h2,sl0.05,tp0.1",-0.26587591760384843,-0.70325503500129,-0.12877168767900493,-0.25860716308947895,-0.9154424533263607,2,0.0,-inf
crash,3033.HK,"lb2,drop0.07,ma100,h3,sl0.03,tp0.06",-0.3014964219932176,-0.721020981623578,-0.12036924524752268,-0.242998892838731,-0.9299969590451406,2,0.0,-inf
crash,3033.HK,"lb2,drop0.07,ma100,h3,sl0.03,tp0.1",-0.2837101745960472,-0.6972352194511527,-0.12036924524752268,-0.242998892838731,-0.9299969590451406,2,0.0,-inf
crash,3033.HK,"lb2,drop0.07,ma100,h3,sl0.05,tp0.06",-0.29220813062180784,-0.7265678693095897,-0.12877168767900493,-0.25860716308947895,-0.9154424533263607,2,0.0,-inf
crash,3033.HK,"lb2,drop0.07,ma100,h3,sl0.05,tp0.1",-0.26587591760384843,-0.70325503500129,-0.12877168767900493,-0.25860716308947895,-0.9154424533263607,2,0.0,-inf
crash,3033.HK,"lb2,drop0.07,ma200,h1,sl0.03,tp0.06",-0.2720302495223771,-0.6595910510991707,-0.015251629204503958,-0.032810439898399935,-0.8727688305419319,1,0.0,-inf
crash,3033.HK,"lb2,drop0.07,ma200,h1,sl0.03,tp0.1",-0.2587336314593668,-0.6520687211872617,-0.015251629204503958,-0.032810439898399935,-0.8727688305419319,1,0.0,-inf
crash,3033.HK,"lb2,drop0.07,ma200,h1,sl0.05,tp0.06",-0.2723651006480051,-0.6601002970227821,-0.02465818013556298,-0.05275249268399995,-0.8000973702884981,1,0.0,-inf
crash,3033.HK,"lb2,drop0.07,ma200,h1,sl0.05,tp0.1",-0.25907459875606176,-0.6525892203868402,-0.02465818013556298,-0.05275249268399995,-0.8000973702884981,1,0.0,-inf
crash,3033.HK,"lb2,drop0.07,ma200,h2,sl0.03,tp0.06",-0.27810458686694695,-0.6687471586085381,-0.015251629204503958,-0.032810439898399935,-0.8727688305419319,1,0.0,-inf
crash,3033.HK,"lb2,drop0.07,ma200,h2,sl0.03,tp0.1",-0.2649189186663501,-0.6614271596330419,-0.015251629204503958,-0.032810439898399935,-0.8727688305419319,1,0.0,-inf
crash,3033.HK,"lb2,drop0.07,ma200,h2,sl0.05,tp0.06",-0.26850524457582003,-0.675333396948482,-0.02465818013556298,-0.05275249268399995,-0.8000973702884981,1,0.0,-inf
